Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
melbourne_botanical_gardens,2014,6,7,0.6
melbourne_botanical_gardens,2014,6,8,0.8
melbourne_botanical_gardens,2014,6,9,0.0
melbourne_botanical_gardens,2014,6,10,0.0
melbourne_botanical_gardens,2014,6,11,0.0
melbourne_botanical_gardens,2014,6,12,0.0
melbourne_botanical_gardens,2014,6,13,6.4
melbourne_botanical_gardens,2014,6,14,0.2
melbourne_botanical_gardens,2014,6,15,1.2
melbourne_botanical_gardens,2014,6,16,0.6
melbourne_botanical_gardens,2014,6,17,2.6
melbourne_botanical_gardens,2014,6,18,0.0
melbourne_botanical_gardens,2014,6,19,0.0
melbourne_botanical_gardens,2014,6,20,0.0
melbourne_botanical_gardens,2014,6,21,0.6
melbourne_botanical_gardens,2014,6,22,0.2
melbourne_botanical_gardens,2014,6,23,0.0
melbourne_botanical_gardens,2014,6,24,5.4
melbourne_botanical_gardens,2014,6,25,7.0
melbourne_botanical_gardens,2014,6,26,0.8
melbourne_botanical_gardens,2014,6,27,0.0
melbourne_botanical_gardens,2014,6,28,0.0
melbourne_botanical_gardens,2014,6,29,2.4
melbourne_botanical_gardens,2014,6,30,5.6
melbourne_botanical_gardens,2014,7,1,0.6
melbourne_botanical_gardens,2014,7,2,0.0
melbourne_botanical_gardens,2014,7,3,0.0
melbourne_botanical_gardens,2014,7,4,0.0
melbourne_botanical_gardens,2014,7,5,0.2
melbourne_botanical_gardens,2014,7,6,0.6
melbourne_botanical_gardens,2014,7,7,0.0
melbourne_botanical_gardens,2014,7,8,0.2
melbourne_botanical_gardens,2014,7,9,0.2
melbourne_botanical_gardens,2014,7,10,5.4
melbourne_botanical_gardens,2014,7,11,1.6
melbourne_botanical_gardens,2014,7,12,5.2
melbourne_botanical_gardens,2014,7,13,3.6
melbourne_botanical_gardens,2014,7,14,0.2
melbourne_botanical_gardens,2014,7,15,0.0
melbourne_botanical_gardens,2014,7,16,2.6
melbourne_botanical_gardens,2014,7,17,0.4
melbourne_botanical_gardens,2014,7,18,3.0
melbourne_botanical_gardens,2014,7,19,0.8
melbourne_botanical_gardens,2014,7,20,0.0
melbourne_botanical_gardens,2014,7,21,0.0
melbourne_botanical_gardens,2014,7,22,0.0
melbourne_botanical_gardens,2014,7,23,0.0
melbourne_botanical_gardens,2014,7,24,0.2
